reg,timestamp,valor
0,1684875521407,26.25
1,1684875230631,26.75
2,1684874358127,26.25
3,1684874068639,26.0
4,1684873776023,26.5
5,1684873190749,26.75
6,1684872317592,27.0
7,1684872025608,27.75
8,1684871734870,28.0
9,1684871443947,27.5
10,1684871153021,27.0
11,1684870863292,27.25
12,1684870569544,26.75
13,1684870279855,27.0
14,1684869986071,26.5
15,1684869695175,27.5
16,1684869403337,26.75
17,1684868824258,27.25
18,1684868530190,26.75
19,1684867659233,27.25
20,1684866784226,27.0
21,1684866494327,26.75
22,1684866204549,27.0
23,1684865914798,26.75
24,1684865625963,26.25
25,1684865336117,27.0
26,1684865041341,26.5
27,1684864752184,26.0
28,1684864457173,26.25
29,1684864166615,26.0
30,1684863875695,25.75
31,1684863584741,25.5
32,1684863003126,25.25
33,1684862712315,25.5
34,1684862421675,25.75
35,1684862130672,25.0
36,1684861840950,25.25
37,1684861547098,25.0
38,1684861256203,25.75
39,1684860965485,25.25
40,1684860674845,25.0
41,1684860382961,25.5
42,1684860094023,24.5
43,1684859510917,24.75
44,1684859220116,25.25
45,1684858929135,24.75
46,1684858638453,25.25
47,1684858347456,24.75
48,1684858056786,25.25
49,1684857766678,24.75
50,1684857473943,24.5
51,1684856894039,24.75
52,1684856602985,24.25
53,1684856019271,24.5
54,1684855729052,24.25
55,1684855437301,24.0
56,1684854564962,23.75
57,1684854274110,24.0
58,1684853983550,23.5
59,1684853692840,23.0
60,1684853403087,23.25
61,1684853109088,23.5
62,1684852817220,23.25
63,1684852528416,23.75
64,1684852237608,23.25
65,1684851946654,23.75
66,1684851655889,23.25
67,1684851365995,22.75
68,1684851072473,23.25
69,1684850489858,23.0
70,1684850200998,23.25
71,1684849910128,22.5
72,1684849619228,22.75
73,1684848746508,23.25
74,1684848455770,23.0
75,1684848164987,22.5
76,1684847581332,23.0
77,1684847290394,23.25
78,1684846707783,23.0
79,1684846419093,23.5
80,1684845837589,23.25
81,1684845548081,23.75
82,1684845253776,24.25
83,1684844377611,24.0
84,1684844086673,24.25
85,1684843795828,23.5
86,1684843505071,24.0
87,1684843214477,23.75
88,1684842923576,24.25
89,1684842632527,24.0
90,1684842341657,23.5
91,1684842051724,24.0
92,1684841176756,23.75
93,1684840595079,24.0
94,1684840304077,24.25
95,1684840013156,24.0
96,1684839722353,24.25
97,1684839431601,23.75
98,1684838849941,24.0
99,1684838268116,23.75
100,1684837686611,24.0
101,1684837395557,23.25
102,1684837104605,24.25
103,1684836813743,24.0
104,1684836232239,24.25
105,1684835650771,24.0
106,1684835360901,23.5
107,1684835067748,24.0
108,1684834774988,23.75
109,1684834484142,24.25
110,1684834193329,24.0
111,1684833902722,24.25
112,1684833321059,23.75
113,1684833030131,24.25
114,1684832739193,23.75
115,1684831866511,24.25
116,1684831575710,23.75
117,1684830994326,24.25
118,1684830703783,23.75
119,1684830412684,24.25
120,1684830121946,24.0
121,1684829831106,24.25
122,1684829540178,24.0
123,1684828374524,24.25
124,1684828082814,24.0
125,1684827502826,24.25
126,1684827212091,23.75
127,1684826921200,24.25
128,1684826630252,23.75
129,1684826339608,24.0
130,1684826048621,24.5
131,1684825757891,24.25
132,1684825468337,24.5
133,1684825174832,24.0
134,1684824302525,24.25
135,1684824011826,24.0
136,1684822848496,24.25
137,1684822559207,24.0
138,1684821681333,24.25
139,1684821096164,24.5
140,1684820514657,24.0
141,1684820223892,24.75
142,1684819933989,24.25
143,1684819349463,24.75
144,1684819058543,24.25
145,1684818474993,24.5
146,1684817893276,24.75
147,1684817602462,25.0
148,1684817311410,24.25
149,1684817020623,24.0
150,1684816730707,24.75
151,1684816436906,25.0
152,1684816146170,24.75
153,1684815855385,25.0
154,1684815564609,24.25
155,1684815273906,25.0
156,1684814399283,24.75
157,1684813235802,25.0
158,1684812944973,24.75
159,1684812654144,25.0
160,1684812363222,25.25
161,1684812073411,24.75
162,1684811780601,25.25
163,1684811487009,25.0
164,1684811196111,24.75
165,1684810614632,25.25
166,1684810324656,24.75
167,1684810031339,25.0
168,1684809740692,25.25
169,1684808868136,25.5
170,1684808577188,25.0
171,1684808286370,25.25
172,1684807995639,25.0
173,1684807122761,25.25
174,1684806540963,25.5
175,1684806250314,25.25
176,1684805959434,25.75
177,1684805087708,25.25
178,1684804794076,25.0
179,1684804503262,25.25
180,1684804212178,25.0
181,1684803630463,25.5
182,1684803339499,25.25
183,1684803048710,25.5
184,1684802757868,25.0
185,1684802467212,25.5
186,1684802176254,25.25
187,1684801885438,25.5
188,1684801594631,25.0
189,1684801303739,25.75
190,1684801013010,25.5
191,1684800722392,25.75
192,1684800431392,25.25
193,1684799558744,25.75
194,1684799268863,25.5
195,1684798975610,25.0
196,1684798684630,25.5
197,1684798393696,25.25
198,1684798102857,25.75
199,1684797812108,25.25
200,1684797521349,25.5
201,1684797230594,25.25
202,1684796067353,25.5
203,1684795776610,25.75
204,1684795485594,25.5
205,1684794320601,25.75
206,1684794029861,24.75
207,1684793738926,25.25
208,1684793447991,25.75
209,1684792866180,25.5
210,1684792575272,25.75
211,1684792284254,25.5
212,1684791994479,25.75
213,1684791699621,26.0
214,1684791118084,25.75
215,1684790827219,25.25
216,1684789952722,25.5
217,1684789080855,26.0
218,1684788787364,25.75
219,1684787622073,26.5
220,1684787331264,26.25
221,1684787040278,25.75
222,1684786458194,26.5
223,1684786167419,26.25
224,1684785294646,26.0
225,1684785003768,26.25
226,1684784712997,26.5
227,1684783840478,25.75
228,1684783258857,26.0
229,1684782384507,25.5
230,1684782093621,26.0
231,1684780930287,25.75
232,1684780639332,25.5
233,1684780348379,25.25
234,1684780057778,25.5
235,1684779473910,25.75
236,1684779183151,25.5
237,1684778305336,25.25
238,1684778014621,25.0
239,1684777140260,25.5
240,1684776849296,25.0
241,1684776558335,25.5
242,1684775976437,25.25
243,1684775685447,24.75
244,1684775394712,24.5
245,1684775103941,24.75
246,1684774812921,25.0
247,1684774522036,24.75
248,1684774231217,25.0
249,1684773940448,24.5
250,1684773649815,25.0
251,1684773359112,24.75
252,1684771324581,24.25
253,1684771033724,24.75
254,1684769870166,24.25
255,1684769288307,24.0
256,1684767835154,24.25
257,1684767545265,24.0
258,1684767251775,24.25
259,1684766960884,24.5
260,1684765797323,24.25
261,1684765215719,24.5
262,1684764924927,23.75
263,1684763762550,24.25
264,1684763471713,24.0
265,1684762597140,24.25
266,1684762306116,23.75
267,1684762016240,24.25
268,1684761722586,23.75
269,1684761431594,23.5
270,1684761140709,24.25
271,1684760849790,23.75
272,1684760558824,24.0
273,1684759977532,24.25
274,1684759686897,23.75
275,1684759395915,24.25
276,1684759105952,24.0
277,1684758521229,24.25
278,1684757644572,23.75
279,1684757353764,24.25
280,1684757063001,23.75
281,1684756773303,24.25
282,1684756189925,23.75
283,1684755895807,24.25
284,1684755604932,23.75
285,1684755314133,24.5
286,1684755023471,23.25
287,1684754442170,24.0
288,1684753278953,23.75
289,1684752988045,24.0
290,1684752697267,23.75
291,1684752115991,24.0
292,1684751825023,23.75
293,1684751534501,23.0
294,1684751243590,24.25
295,1684750952938,23.75
296,1684750662119,23.25
297,1684750371256,24.0
298,1684749786562,24.25
299,1684749495710,24.0
300,1684749204722,23.75
301,1684748913789,24.0
302,1684748622896,24.25
303,1684748332137,23.75
